Kód,Název,Popis,Určuje,Subjekty,Skupina,Předpisy,Verze,Aktualizace,Status,Agendy
"P417","Vydávat a udržovat provozní a bezpečnostní dokumentaci k ESSL a ISSD systémům","Orgán veřejné moci, který provozuje ESSL či ISSD systémy, musí u nich zajistit plný soulad s povinnostmi podle zákona 365/2000 (podle § 1, odst. 4, písm. c), a to včetně vydávání, udržování a aktualizace provozní dokumentace k těmto systémům, bezpečnostní dokumentace k těmto systémům a dodržování principů jejich realizace.","zákon 365/2000 a vyhláška 529/2006","[""Orgány veřejné moci"",""Správci informačních systémů"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P418","Zahrnout ESSL a ISSD systémy a věci k nim do svojí informační koncepce úřadu","Orgán veřejné moci, který má podle zákona 365/2000 povinnost mít svojí informační koncepci, musí v této informační koncepci uvést jako svoje systémy veškeré ESSL a ISSD systémy a u systémů podle § 1, odst. 4 také musí zajistit soulad se zákonem 365/2000, včetně řádného rozvoje těchto systémů a řádného zajištění technického zabezpečení výkonu spisové služby.","zákon 365/2000 a vyhláška 529/2006","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P419","Ve své informační koncepci řešit správu dokumentů a integraci ESSL a ISSD","Orgán veřejné moci, který má podle zákona 365/2000 povinnost mít svoji informační koncepci, musí v této informační koncepci pochopitelně řešit na byznysové i technické úrovni správu dokumentů, příjem a odesílání datových zpráv podatelnou a výpravnou a integraci a vazby svých ESSL a ISSD systémů a také komplexně pojímat svoje systémy jako ISSD se všemi souvislostmi. Musí splnit podmínky a povinnosti výkonu spisové služby jako celku a musí splnit soulad s příslušnými principy IKČR a oblastmi v Národním architektonickém plánu.","zákon 365/2000 a vyhláška 529/2006","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P420","Realizovat vazby Jmenného rejstříku a ESSL a ISSD systémů s ostatními ISVS referenčním rozhraním","Pokud je původce orgánem veřejné moci, tak vykonává vždy alespoň agendu spisové služby a nejméně pro výměnu údajů a aktualizaci údajů pro Jmenný rejstřík platí povinnosti [Ztotožnit subjekt v agendě spisové služby pro vedení ve Jmenném rejstříku] a [Aktualizovat údaje o subjektu ve Jmenném rejstříku z referenčních údajů]. Zároveň musí vyměňovat údaje s jinými svými systémy překladem z identifikátoru [Bezvýznamový identifikátor subjektu spisové služby]. Pro realizaci využívání údajů pro Jmenný rejstřík, každý ESSL a ISSD musí s okolními systémy (s výjimkou ISDS) cizích správců uskutečňovat vazby prostřednictvím referenčního rozhraní (tedy přes systémy ISZR a eGSB).","zákon 365/2000 a zákon 111/2009","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P421","Přijímat a odesílat datové zprávy prostřednictvím podatelny a výpravny","Původce, který má datovou schránku, musí zajistit její využívání moduly [Modul Podatelna] a [Modul Výpravna].","zákon 499/2004 a zákon 300/2008","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P422","Výjimka z obecné právní platnosti dokumentů odeslaných datovou schránkou orgánem veřejné moci","Odesílá-li dokument prostřednictvím datové schránky orgán veřejné moci, neplatí obecná povinnost fikce právní platnosti dokumentu podle § 18 odst. 2 zákona 300/2008, neboť odesílaný dokument orgánu veřejné moci musí být vždy opatřen kvalifikovanými validačními prvky. Příjemce takového dokumentu od orgánu veřejné moci tedy nesmí postupovat podle § 18 odst. 2.","zákon 499/2004 zákon 297/2016 a zákon 300/2008","[""Držitelé soukromoprávní DS"",""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P423","Prověřit právní platnost dokumentu či úkonu doručeného datovou schránkou","Příjemcům datové zprávy plynou obecné povinnosti související s právní platností doručovaných dokumentů a zpráv. Od orgánů veřejné moci se postupuje podle příslušných ustanovení zákona 297/2016. Od soukromoprávních subjektů se postupuje podle ustanovení § 18 odst. 2 zákona 300/2008.","zákon 499/2004, zákon 297/2016 a zákon 300/2008","[""Držitelé soukromoprávní DS"",""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008"",""Zákon 297/2016"",""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P424","Sledovat a hlídat správní lhůty u spisů a dokumentů","Původce, který je jako OVM vázán Správním řádem či jinými správně-procesními předpisy, musí zajistit dodržování lhůt pro svoje úřední a správní činnosti. Vzhledem k tomu, že [Elektronický systém spisové služby] a každý úřední [Informační systém pro správu dokumentů] slouží jako evidence pro správní činnosti, musí být takový systém připraven na záznam a sledování a hlídání lhůt pro vyřízení věci ve správní lhůtě. To se týká i vyřizování a reakce na dokumenty a spisy.","zákon 500/2004 a ostatní procesní předpisy","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P425","Dokumenty podepisovat a opatřovat časovým razítkem","Veřejnoprávní původce každý odesílaný či zveřejňovaný úřední dokument opatří elektronickým podpisem či elektronickou pečetí a kvalifikovaným časovým razítkem, aby byl dokument platný a měl všechny validační prvky.","§ 5 zákona 297/2016","[""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P426","Spravovat a rozvíjet ESSL podle zásad ISVS","Původce, který je OVM a OVS má povinnost na elektronický systém spisové služby aplikovat principy zákona o ISVS, neboť ESSL je speciálním určeným informačním systémem podle zákona 365/2000.","§ 1 odst. 4 písm. c) zákona 365/2000","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P427","Zpracovat dokumenty doručené do datové schránky","Držitel datové schránky řeší jemu doručené dokumenty a datové zprávy jež jsou doručeny do jeho datové schránky. Zpracování a evidence dokumentů se řídí souvisejícími povinnostmi i podle toho, od koho je dokument doručen a jaké povinnosti stran správy a evidence dokumentů má daný příjemce.","Zákon 300/2008 a související třeba Zákon 499/2004 a Zákon 500/2004 a Zákon 297/2016","[""Držitelé soukromoprávní DS"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P428","Zřídit datovou schránku podnikající fyzické osoby na její žádost","Datovou schránku podnikající fyzické osoby zřídí DIA bezplatně na žádost této osoby do 3 pracovních dnů ode dne podání žádosti.","§ 4 odst. 1 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P429","Zřídit datovou schránku právnické osoby","Datovou schránku právnické osoby zřídí DIA bezplatně právnické osobě zřízené zákonem, právnické osobě zapsané v obchodním rejstříku a organizační složce podniku zahraniční právnické osoby zapsané v obchodním rejstříku, a to v případě právnické osoby zřízené zákonem bezodkladně po jejím vzniku, v případě právnické osoby zapsané v obchodním rejstříku a organizační složky podniku zahraniční právnické osoby zapsané v obchodním rejstříku bezodkladně poté, co obdrží informaci o jejím zapsání do obchodního rejstříku.","§ 5 odst. 1 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P430","Zřídit datovou schránku jiné právnické osobě na její žádost","Právnické osobě, která není uvedena v odstavci 1, zřídí DIA datovou schránku právnické osoby bezplatně na žádost této osoby do 3 pracovních dnů ode dne podání žádosti.","§ 5 odst. 2 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P431","Oznámit působnost v agendě Spisová služba","Původci, kteří jsou orgány veřejné správy musejí vést Jmenný rejstřík a popřípadě dělat další činnost v rámci agendy Spisová služba. Každý orgán veřejné moci automaticky ze zákona vykonává povinně působnost v agendě spisové služby a jeho [Jmenný rejstřík], [Elektronický systém spisové služby] a každý [Informační systém spravující dokumenty] jsou agendovými informačními systémy pro výkon v této agendě.","§ 55 zákona 111/2009","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P432","Zřídit datovou schránku orgánu veřejné moci","Datovou schránku orgánu veřejné moci zřídí DIA bezplatně orgánu veřejné moci, a to bezodkladně po jeho vzniku a v případě, že orgán veřejné moci vzniká zápisem do evidence podle jiného právního předpisu, bezodkladně po jeho zápisu do rejstříku orgánů veřejné moci a soukromoprávních uživatelů údajů.","§ 6 odst. 1 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P433","Digitalizovat dokumenty při příjmu","Veřejnoprávní původci, kteří vykonávají spisovou službu v elektronické podobě mají podle vyhlášky 259/2012 povinnost (zpravidla) digitalizovat doručené analogové dokumenty a zpracovávat je jako digitální s komponentami. To zajistí buď [Autorizovaná konverze] nebo [Jiná konverze]. Souvisí se službou [Konverze dokumentu].","§ 6 odst. 2 vyhlášky 259/2012","[""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 499/2004""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P434","Zřídit další datovou schránku orgánu veřejné moci na její žádost","Další datové schránky orgánu veřejné moci zřídí DIA orgánu veřejné moci bezplatně na žádost tohoto orgánu do 3 pracovních dnů ode dne podání žádosti. Datová schránka podle věty první se zřizuje zejména pro potřebu vnitřní organizační jednotky orgánu veřejné moci nebo výkonu konkrétní agendy nebo činnosti orgánu veřejné moci.","§ 6 odst. 2 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P435","Stanovit podmínky přístupu do ISDS","DIA stanoví vyhláškou technické podmínky a bezpečnostní zásady přístupu do datové schránky.","§ 9 odst. 4 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P436","Předat přístupové údaje k datové schránce","DIA zašle do vlastních rukou přístupové údaje k datové schránce osobě uvedené v § 8 odst. 1 až 4, bezodkladně po zřízení datové schránky. V případě datové schránky zřízené na základě žádosti podané způsobem podle § 27 odst. 4 DIA zašle přístupové údaje pouze na žádost osoby uvedené v § 8 odst. 1 nebo 2.","§ 10 odst. 1 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P437","Předat přístupové údaje k datové schránce pověřené osobě","Na žádost osoby uvedené v § 8 odst. 1 až 4 nebo administrátora zašle DIA přístupové údaje k datové schránce pověřené osobě do vlastních rukou.","§ 10 odst. 3 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P438","Opětovně zpřístupnit datovou schránku","Znepřístupněnou datovou schránku fyzické osoby, podnikající fyzické osoby, právnické osoby nebo orgánu veřejné moci DIA zpřístupní na žádost osoby nebo orgánu veřejné moci, jimž byla datová schránka zřízena, nebo administrátora do 3 pracovních dnů od podání žádosti. Byla-li datová schránka na žádost znepřístupněna dvakrát za poslední rok, lze ji zpřístupnit nejdříve uplynutím 1 roku od jejího posledního znepřístupnění. Znepřístupněnou datovou schránku orgánu veřejné moci, která byla znepřístupněna podle odstavce 4 věty druhé, DIA zpřístupní dnem, kdy byl údaj o přerušení nebo pozastavení působnosti vymazán z rejstříku orgánů veřejné moci a soukromoprávních uživatelů údajů.","§ 11 odst. 7 a 8 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P439","Znepřístupnit datovou schránku","DIA znepřístupní datovou schránku fyzické osoby a podnikající fyzické osoby, a to případně i zpětně, k určenému dni.","§ 11 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P440","Zneplatnit přístupové údaje do datové schránky","DIA zneplatní přístupové údaje do datové schránky podle podmínek uvedených v § 12","§ 12 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P441","Zrušit datovou schránku","DIA zruší datovou schránku podle podmínek uvedených v § 13","§ 13 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P442","Spravovat Informační systém datových schránek","Informační systém datových schránek je informačním systémem veřejné správy, který obsahuje informace o datových schránkách a jejich uživatelích. Správcem informačního systému datových schránek je DIA. Provozovatelem informačního systému datových schránek je držitel poštovní licence. Odměna držiteli poštovní licence za provozování informačního systému datových schránek se stanoví podle cenových předpisů. Náklady spojené s provozováním informačního systému datových schránek hradí stát z prostředků státního rozpočtu vyčleněných podle návrhu ministerstva pro stanovený účel v kapitole všeobecná pokladní správa.","§ 14 odst. 2 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P443","Provozovat přístupové rozhraní ISDS pro služby","DIA může na žádost osoby poskytující své služby na internetu, jež jsou přístupné prostřednictvím jí provozovaných individuálních uživatelských účtů adresátů těchto služeb (dále jen „poskytovatel internetových služeb“), povolit využívání rozhraní informačního systému datových schránek, které slouží pro správu přístupových údajů a identity osob oprávněných k přístupu do datových schránek a vazby přístupových údajů těchto osob na přístupové údaje k individuálním uživatelským účtům (dále jen „přístupové rozhraní“). Součástí žádosti je popis způsobu využití přístupového rozhraní.","§ 14a odst. 1 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P444","Zodpovídat za škodu způsobenou špatným využíváním přístupového rozhraní ISDS","Poskytovatel internetových služeb odpovídá za škodu způsobenou v souvislosti s využíváním přístupového rozhraní. Poskytovatel internetových služeb se odpovědnosti zprostí, prokáže-li, že škodě nemohlo být zabráněno ani při vynaložení veškerého úsilí, které lze na něm požadovat.","§ 14a odst. 3 a 5 zákona 300/2008","[""SEP využívající ISDS""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P445","Stanovit podmínky přístupového rozhraní ISDS","DIA stanovuje věcné, personální, technické, bezpečnostní a organizační podmínky pro využívání přístupového rozhraní a zveřejňuje je ve Věstníku ministerstva a způsobem umožňujícím dálkový přístup. Stanoví-li DIA nové podmínky podle věty první, povinnost poskytovatele internetových služeb splňovat tyto podmínky nastane nejdříve prvním dnem třetího kalendářního měsíce následujícího po kalendářním měsíci, v němž došlo k jejich zveřejnění, nestanoví-li DIA delší dobu.","§ 14a odst. 3 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P446","Platit za užívání přístupového rozhraní ISDS","Poskytovatel internetových služeb platí za využívání přístupového rozhraní roční poplatek vypočtený jako součin částky 100 Kč a počtu uživatelských účtů k jeho službám, pro které v daném kalendářním roce využil přístupového rozhraní. Poplatek se platí do 31. ledna následujícího kalendářního roku. Poplatek je příjmem státního rozpočtu, vybírá jej Digitální a informační agentura.","§ 14a odst. 4 zákona 300/2008","[""SEP využívající ISDS""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P447","Kontrolovat využívání přístupového rozhraní ISDS u poskytovatele služeb","DIA kontroluje u poskytovatele internetových služeb plnění věcných, personálních, technických, bezpečnostních a organizačních podmínek pro využívání přístupového rozhraní. DIA rozhodne o odnětí povolení k využívání přístupového rozhraní, a) nesplňuje-li poskytovatel internetových služeb věcné, personální, technické, bezpečnostní nebo organizační podmínky pro využívání přístupového rozhraní a nedojde-li do 3 měsíců ode dne, kdy DIA na tuto skutečnost upozornilo, k nápravě, nebo b) požádá-li o to poskytovatel internetových služeb.","§ 14a odst. 6 a 7 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P448","Odejmout oprávnění k využívání přístupového rozhraní ISDS","DIA odejme oprávnění poskytovateli služeb využívat přístupové rozhraní datových schránek v případě porušení povinností podle §14a odst. 3, a to za podmínek uvedeních v odst. 7","§ 14a odst. 7 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P449","Vést seznam poskytovatelů využívající přístupové rozhraní ISDS","DIA vede seznam poskytovatelů internetových služeb, kteří využívají přístupové rozhraní, a zveřejňuje jej způsobem umožňujícím dálkový přístup.","§ 14a odst. 8 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P450","Vést veřejný seznam držitelů datových schránek","DIA vede veřejný seznam fyzických osob, podnikajících fyzických osob, právnických osob a orgánů veřejné moci, které mají zřízenu a zpřístupněnu datovou schránku (dále jen „seznam držitelů datových schránek“), který je přístupný způsobem umožňujícím dálkový přístup. Seznam je součástí informačního systému datových schránek. Seznam držitelů datových schránek se člení na samostatné části vedené pro fyzické osoby, pro podnikající fyzické osoby, pro právnické osoby a pro orgány veřejné moci.","§ 14b odst. 1 - 3 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P451","Vymazat držitele datové schránky z veřejného seznamu na jeho žádost","Na žádost fyzické osoby, která má zřízenu a zpřístupněnu datovou schránku, se údaje o ní vedené v seznamu držitelů datových schránek zlikvidují.","§ 14b odst. 4 zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P452","Informovat DIA o auditorech za účelem zřízení datových schránek","Komora auditorů České republiky bezodkladně informuje Digitální a informační agentuře o zápisu osoby do rejstříku auditorů, o údajích vedených o osobě v rejstříku auditorů nezbytně nutných pro zřízení datové schránky a jejich změnách a o zániku oprávnění k výkonu auditorské činnosti této osoby.","§ 15 odst. 2 zákona 300/2008","[""Komora auditorů""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P453","Informovat DIA o znalcích za účelem zřízení datových schránek","Ministerstvo spravedlnosti bezodkladně informuje Digitální a informační agenturu o zápisu znalce do seznamu znalců, znaleckých kanceláří a znaleckých ústavů (dále jen „seznam znalců“) a o zápisu soudního tlumočníka nebo soudního překladatele do seznamu soudních tlumočníků a soudních překladatelů (dále jen „seznam soudních tlumočníků“), o údajích vedených o této osobě v seznamu znalců nebo v seznamu soudních tlumočníků nezbytně nutných pro zřízení datové schránky a jejich změnách a o vyškrtnutí této osoby ze seznamu znalců nebo seznamu soudních tlumočníků.","§ 15 odst. 3 zákona 300/2008","[""Ministerstvo spravedlnosti""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P454","Informovat DIA o vazbě za účelem znepřístupnění datové schránky","Věznice nebo vazební věznice bezodkladně informuje Digitální a informační agenturu o vzetí fyzické osoby do vazby nebo o nástupu fyzické osoby do výkonu trestu odnětí svobody, jde-li o osobu, která má zřízenu datovou schránku. Detenční ústav bezodkladně informuje ministerstvo o nástupu fyzické osoby, která má zřízenu datovou schránku, do výkonu zabezpečovací detence. Soud bezodkladně informuje DIA o vykonatelném rozhodnutí, jímž se fyzická osoba, která má zřízenu datovou schránku, omezuje na osobní svobodě z důvodu ochranného léčení nebo ochrany zdraví lidu.","§ 16 zákona 300/2008","[""Ministerstvo vnitra"",""Věznice""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","05.10.2023 0:00","Platné","[""(doplnit)""]"
"P455","Doručovat dokumenty mezi OVM datovou schránkou","Umožňuje-li to povaha dokumentu, orgán veřejné moci jej doručuje jinému orgánu veřejné moci prostřednictvím datové schránky, pokud se nedoručuje na místě. Umožňuje-li to povaha dokumentu a má-li fyzická osoba, podnikající fyzická osoba nebo právnická osoba zpřístupněnu svou datovou schránku, orgán veřejné moci doručuje dokument této osobě prostřednictvím datové schránky, pokud se nedoručuje veřejnou vyhláškou nebo na místě. Doručuje-li se způsobem podle tohoto zákona, ustanovení jiných právních předpisů upravující způsob doručení se nepoužijí.","§ 17 odst. 1 a 2 zákona 300/2008","[""Orgány veřejné moci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P456","Správně zaevidovat datum doručení dokumentu odeslaného datovou schránkou","Dokument, který byl dodán do datové schránky, je doručen okamžikem, kdy se do datové schránky přihlásí osoba, která má s ohledem na rozsah svého oprávnění přístup k dodanému dokumentu.","§ 17 odst. 3 a 5 zákona 300/2008","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P457","Fikce doručení do datové schránky","Nepřihlásí-li se do datové schránky osoba podle odstavce 3 ve lhůtě 10 dnů ode dne, kdy byl dokument dodán do datové schránky, považuje se tento dokument za doručený posledním dnem této lhůty; to neplatí, vylučuje-li jiný právní předpis náhradní doručení.","§ 17 odst. 4 a 5 zákona 300/2008","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P458","Prověřit neúčinnost doručení dokumentu do datové schránky na žádost držitele","Osoba, pro niž byla datová schránka zřízena, může za podmínek stanovených jiným právním předpisem7) žádat o určení neúčinnosti doručení podle odstavce 4.","§ 17 odst. 5 zákona 300/2008","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P459","Považovat dokument doručený datovou schránkou za právně doručený","Doručení dokumentu podle odstavce 3 nebo 4 má stejné právní účinky jako doručení do vlastních rukou.","§ 17 odst. 6 zákona 300/2008","[""Držitelé soukromoprávní DS"",""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P460","Strpět doručování soukromoprávním subjektem prostřednictvím datové schránky","Fyzická osoba, podnikající fyzická osoba a právnická osoba může provádět úkon vůči orgánu veřejné moci, má-li zpřístupněnu svou datovou schránku a umožňuje-li to povaha tohoto úkonu, prostřednictvím datové schránky.","§ 18 odst. 1 zákona 300/2008","[""Orgány veřejné moci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P461","Považovat dokument či úkon doručený datovou schránkou za právně validní","Úkon učiněný osobou uvedenou v § 8 odst. 1 až 4 nebo pověřenou osobou, pokud k tomu byla pověřena, prostřednictvím datové schránky má stejné účinky jako úkon učiněný písemně a podepsaný, ledaže jiný právní předpis nebo vnitřní předpis požaduje společný úkon více z uvedených osob.","§ 18 odst. 2 zákona 300/2008","[""Orgány veřejné moci"",""Veřejnoprávní původci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P462","Nevyžadovat podpis u úkonů činěných soukromoprávním subjektem prostřednictvím datové schránky","Úkon učiněný osobou uvedenou v § 8 odst. 1 až 4 nebo pověřenou osobou, pokud k tomu byla pověřena, prostřednictvím datové schránky má stejné účinky jako úkon učiněný písemně a podepsaný, ledaže jiný právní předpis nebo vnitřní předpis požaduje společný úkon více z uvedených osob.","§ 18 odst. 2 zákona 300/2008","[""Orgány veřejné moci""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P463","Hradit za poštovní datové zprávy","Za dodání dokumentu podle odstavce 1 náleží provozovateli informačního systému datových schránek odměna, která se stanoví podle cenových předpisů. Odměnu hradí fyzická osoba, podnikající fyzická osoba nebo právnická osoba, z jejíž datové schránky byl dokument odeslán. Tato osoba může určit, že bude hradit i dodání dokumentu, který je odpovědí na dokument dodaný podle předchozí věty. Odměnu podle věty první může za fyzickou osobu, podnikající fyzickou osobou nebo právnickou osobu, z jejíž datové schránky byl dokument odeslán, hradit rovněž jiná fyzická osoba, podnikající fyzická osoba nebo právnická osoba, předloží-li provozovateli informačního systému datových schránek písemný souhlas fyzické osoby, podnikající fyzické osoby nebo právnické osoby, z jejíž datové schránky byl dokument odeslán, s tímto způsobem úhrady odměny nebo jeho výstup z autorizované konverze dokumentů; podpis osoby v písemném souhlasu musí být úředně ověřen. Provozovatel informačního systému datových schránek vyrozumí prostřednictvím informačního systému datových schránek fyzickou osobu, podnikající fyzickou osobu nebo právnickou osobu, z jejíž datové schránky mají být odesílány dokumenty hrazené způsobem podle věty třetí nebo čtvrté, o tomto způsobu úhrady.","§ 18a odst. 3 zákona 300/2008","[""Držitelé soukromoprávní DS""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P464","Zajistit zasílání poštovních datových zpráv","DIA umožní na žádost fyzické osoby, podnikající fyzické osoby nebo právnické osoby dodávání dokumentů z datové schránky jiné fyzické osoby, podnikající fyzické osoby nebo právnické osoby do datové schránky této osoby.","§ 18a zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P465","Opatřit datovou zprávu v ISDS validačními prvky","DIA připojí k datové zprávě odeslané z datové schránky data prokazující existenci datové zprávy k okamžiku jejího odeslání z datové schránky.","§ 20 odst. 1 písm. a) zákona 300/2008","[""Digitální a informační agentura""]","Povinnosti k ESSL a dokumentům","[""Zákon 300/2008""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
